,Station,Easting,Northing,Elevation,Alignment_Station_int
443,205+509,2612485.5071,1268926.19,247.098,205509.0
445,205+512,2612486.9972,1268923.5862,246.948,205512.0
447,205+515,2612488.4873,1268920.9825,246.798,205515.0
449,205+518,2612489.9774,1268918.3787,246.648,205518.0
451,205+521,2612491.4675,1268915.7749,246.498,205521.0
453,205+524,2612492.9576,1268913.1711,246.348,205524.0
455,205+527,2612494.4477,1268910.5674,246.198,205527.0
457,205+530,2612495.9378,1268907.9636,246.048,205530.0
459,205+533,2612497.4279,1268905.3598,245.897,205533.0
461,205+536,2612498.918,1268902.7561,245.747,205536.0
463,205+539,2612500.4081,1268900.1523,245.597,205539.0
465,205+542,2612501.8982,1268897.5485,245.447,205542.0
467,205+545,2612503.3883,1268894.9448,245.297,205545.0
469,205+548,2612504.8784,1268892.341,245.147,205548.0
471,205+551,2612506.3685,1268889.7372,244.997,205551.0
473,205+554,2612507.8586,1268887.1335,244.847,205554.0
475,205+557,2612509.3487,1268884.5297,244.697,205557.0
477,205+560,2612510.8388,1268881.9259,244.547,205560.0
479,205+563,2612512.3289,1268879.3222,244.397,205563.0
481,205+566,2612513.819,1268876.7184,244.247,205566.0
483,205+569,2612515.3091,1268874.1146,244.096,205569.0
485,205+572,2612516.7992,1268871.5109,243.946,205572.0
487,205+575,2612518.2893,1268868.9071,243.796,205575.0
489,205+578,2612519.7794,1268866.3033,243.646,205578.0
491,205+581,2612521.2695,1268863.6996,243.496,205581.0
493,205+584,2612522.7596,1268861.0958,243.346,205584.0
495,205+587,2612524.2496,1268858.492,243.196,205587.0
497,205+590,2612525.7397,1268855.8883,243.046,205590.0
499,205+593,2612527.2298,1268853.2845,242.896,205593.0
501,205+596,2612528.7199,1268850.6807,242.746,205596.0
503,205+599,2612530.21,1268848.077,242.596,205599.0
505,205+602,2612531.7001,1268845.4732,242.446,205602.0
507,205+605,2612533.1902,1268842.8694,242.295,205605.0
509,205+608,2612534.6803,1268840.2656,242.145,205608.0
511,205+611,2612536.1704,1268837.6619,241.995,205611.0
513,205+614,2612537.6605,1268835.0581,241.845,205614.0
515,205+617,2612539.1506,1268832.4543,241.695,205617.0
517,205+620,2612540.6407,1268829.8506,241.545,205620.0
519,205+623,2612542.1308,1268827.2468,241.395,205623.0
521,205+626,2612543.6209,1268824.643,241.245,205626.0
523,205+629,2612545.111,1268822.0393,241.095,205629.0
525,205+632,2612546.6011,1268819.4355,240.945,205632.0
527,205+635,2612548.0912,1268816.8317,240.795,205635.0
529,205+638,2612549.5813,1268814.228,240.645,205638.0
531,205+641,2612551.0714,1268811.6242,240.494,205641.0
533,205+644,2612552.5615,1268809.0204,240.344,205644.0
535,205+647,2612554.0516,1268806.4167,240.194,205647.0
537,205+650,2612555.5417,1268803.8129,240.044,205650.0
539,205+653,2612557.0318,1268801.2091,239.894,205653.0
541,205+656,2612558.5219,1268798.6054,239.744,205656.0
543,205+659,2612560.012,1268796.0016,239.594,205659.0
545,205+662,2612561.5021,1268793.3978,239.444,205662.0
547,205+665,2612562.9922,1268790.7941,239.294,205665.0
