,Easting,Northing,Elevation,DTM,Rocksurface,delta_rocksurface_tunnelaxis,BoreClass,Area1,Area2,Distance,Area1_mean_dist,Area2_mean_dist
128,2612349.1593,1269169.586,261.477,258.8674,236.2,-25.277,BC1,100.0,100.0,0.263510246403,26.3510246403,26.3510246403
129,2612349.2826,1269169.3536,261.462,258.8674,236.2,-25.262,BC1,100.0,100.0,2.7413744362,274.13744362,274.13744362
130,2612350.5662,1269166.9364,261.305,261.3065,236.2,-25.105,BC1,100.0,100.0,3.0050170483,300.50170483,300.50170483
131,2612351.9747,1269164.2875,261.133,260.7338,236.2,-24.933,BC1,100.0,100.0,3.00482901674,300.482901674,300.482901674
132,2612353.3848,1269161.6396,260.962,260.7338,236.2,-24.762,BC1,100.0,100.0,3.00477170019,300.477170019,300.477170019
133,2612354.7964,1269158.9925,260.792,259.2222,236.2,-24.592,BC1,100.0,100.0,3.00486615008,300.486615008,300.486615008
134,2612356.2097,1269156.3462,260.622,262.2787,236.2,-24.422,BC1,100.0,100.0,3.00477955929,300.477955929,300.477955929
135,2612357.6245,1269153.7008,260.452,260.7018,236.2,-24.252,BC1,100.0,100.0,9.01417307633,901.417307633,901.417307633
136,2612361.8786,1269145.7696,259.948,261.4623,236.2,-23.748,BC1,100.0,100.0,3.00464015159,300.464015159,300.464015159
137,2612363.2998,1269143.1276,259.781,260.7289,236.4,-23.381,BC1,100.0,100.0,3.00450336985,300.450336985,300.450336985
138,2612364.7225,1269140.4865,259.615,260.7289,236.4,-23.215,BC1,100.0,100.0,3.00455062367,300.455062367,300.455062367
139,2612366.1469,1269137.8462,259.45,261.9745,236.4,-23.05,BC1,100.0,100.0,3.00461429483,300.461429483,300.461429483
140,2612367.5728,1269135.2067,259.284,261.9745,236.4,-22.884,BC1,100.0,100.0,3.00447369917,300.447369917,300.447369917
141,2612369.0003,1269132.5681,259.12,261.4646,236.4,-22.72,BC1,100.0,100.0,3.00449162601,300.449162601,300.449162601
142,2612370.4295,1269129.9304,258.956,262.5366,236.4,-22.556,BC1,100.0,100.0,3.00440126655,300.440126655,300.440126655
143,2612371.8601,1269127.2935,258.793,262.5366,236.4,-22.393,BC1,100.0,100.0,3.00442145673,300.442145673,300.442145673
144,2612373.2924,1269124.6575,258.63,261.2839,236.4,-22.23,BC1,100.0,100.0,3.00442877261,300.442877261,300.442877261
145,2612374.7263,1269122.0223,258.468,261.2839,236.4,-22.068,BC1,100.0,100.0,3.00430202372,300.430202372,300.430202372
146,2612376.1617,1269119.388,258.307,262.5316,236.4,-21.907,BC1,100.0,100.0,3.00427787653,300.427787653,300.427787653
147,2612377.5987,1269116.7546,258.146,262.5316,236.4,-21.746,BC1,100.0,100.0,3.00428905411,300.428905411,300.428905411
148,2612379.0373,1269114.122,257.986,262.0572,236.4,-21.586,BC1,100.0,100.0,3.00426712034,300.426712034,300.426712034
149,2612380.4775,1269111.4903,257.826,262.5215,236.4,-21.426,BC1,100.0,100.0,3.00414522438,300.414522438,300.414522438
150,2612381.9192,1269108.8595,257.667,262.4756,236.460511255,-21.2064887448,BC1,100.0,100.0,3.00421302348,300.421302348,300.421302348
151,2612383.3625,1269106.2295,257.508,262.4756,236.460511255,-21.0474887448,BC1,100.0,100.0,3.00408918291,300.408918291,300.408918291
152,2612384.8074,1269103.6004,257.351,262.4282,236.585792725,-20.7652072752,BC1,100.0,100.0,3.00421156734,300.421156734,300.421156734
153,2612386.2539,1269100.9721,257.193,262.4752,236.585792725,-20.6072072752,BC1,100.0,100.0,3.00409060613,300.409060613,300.409060613
154,2612387.702,1269098.3447,257.037,262.4262,236.585792725,-20.4512072752,BC1,100.0,100.0,3.00402703215,300.402703215,300.402703215
155,2612389.1516,1269095.7182,256.881,262.4262,236.585792725,-20.2952072752,BC1,100.0,100.0,3.00401278286,300.401278286,300.401278286
156,2612390.6028,1269093.0926,256.725,262.494,236.585792725,-20.1392072752,BC1,100.0,100.0,3.00403526624,300.403526624,300.403526624
157,2612392.0556,1269090.4678,256.57,262.494,236.585792725,-19.9842072752,BC1,100.0,100.0,3.00397179899,300.397179899,300.397179899
158,2612393.51,1269087.8439,256.416,262.4827,236.575120192,-19.8408798077,BC1,100.0,100.0,3.00391241728,300.391241728,300.391241728
159,2612394.9659,1269085.2209,256.262,262.4827,236.575120192,-19.6868798077,BC1,100.0,100.0,3.00393876279,300.393876279,300.393876279
160,2612396.4234,1269082.5987,256.109,262.5408,236.575120192,-19.5338798077,BC1,100.0,100.0,3.00379197825,300.379197825,300.379197825
161,2612397.8825,1269079.9775,255.957,262.4436,236.575120192,-19.3818798077,BC1,100.0,100.0,3.0038716103,300.38716103,300.38716103
162,2612399.3432,1269077.3571,255.805,262.4436,236.575120192,-19.2298798077,BC1,100.0,100.0,3.00385319201,300.385319201,300.385319201
163,2612400.8054,1269074.7375,255.654,262.5587,236.575120192,-19.0788798077,BC1,100.0,100.0,3.00376054321,300.376054321,300.376054321
164,2612402.2692,1269072.1189,255.503,262.5587,236.575120192,-18.9278798077,BC1,100.0,100.0,1.44083480299,144.083480299,144.083480299
165,2612402.9719,1269070.8631,255.431,262.5587,236.575120192,-18.8558798077,BC1,100.0,100.0,1.56295850565,156.295850565,156.295850565
166,2612403.7346,1269069.5011,255.353,262.5389,236.575120192,-18.7778798077,BC1,100.0,100.0,3.00374120386,300.374120386,300.374120386
167,2612405.2015,1269066.8842,255.203,262.5375,236.723833195,-18.4791668047,BC1,100.0,100.0,3.00373904484,300.373904484,300.373904484
168,2612406.67,1269064.2682,255.053,262.5353,236.723833195,-18.3291668047,BC1,100.0,100.0,3.00378811177,300.378811177,300.378811177
169,2612408.1401,1269061.6531,254.902,262.5353,236.723833195,-18.1781668047,BC1,100.0,100.0,3.00368909829,300.368909829,300.368909829
170,2612409.6117,1269059.0389,254.752,262.5641,236.723833195,-18.0281668047,BC1,100.0,100.0,3.00377725569,300.377725569,300.377725569
171,2612411.0849,1269056.4255,254.602,262.5919,236.723833195,-17.8781668047,BC1,100.0,100.0,3.00377950072,300.377950072,300.377950072
172,2612412.5597,1269053.813,254.452,262.6098,236.723833195,-17.7281668047,BC1,100.0,100.0,3.00369592514,300.369592514,300.369592514
173,2612414.0361,1269051.2015,254.302,262.6098,236.723833195,-17.5781668047,BC1,100.0,100.0,3.00373815435,300.373815435,300.373815435
174,2612415.514,1269048.5908,254.152,262.6429,236.723833195,-17.4281668047,BC1,100.0,100.0,3.00383059754,300.383059754,300.383059754
175,2612416.9935,1269045.9809,254.002,262.6429,236.777777778,-17.2242222222,BC1,100.0,100.0,3.00370108549,300.370108549,300.370108549
176,2612418.4745,1269043.372,253.852,262.7045,236.777777778,-17.0742222222,BC1,100.0,100.0,3.00370883421,300.370883421,300.370883421
177,2612419.9571,1269040.764,253.702,262.7045,236.777777778,-16.9242222222,BC1,100.0,100.0,3.00380450085,300.380450085,300.380450085
178,2612421.4413,1269038.1568,253.552,262.7251,236.777777778,-16.7742222222,BC1,100.0,100.0,3.00372769737,300.372769737,300.372769737
179,2612422.9271,1269035.5506,253.402,262.7251,236.777777778,-16.6242222222,BC1,100.0,100.0,3.00377603201,300.377603201,300.377603201
180,2612424.4144,1269032.9452,253.252,262.6821,236.777777778,-16.4742222222,BC1,100.0,100.0,3.00378872248,300.378872248,300.378872248
181,2612425.9032,1269030.3407,253.101,262.7433,236.881150464,-16.2198495365,BC1,100.0,100.0,0.861973665604,86.1973665604,86.1973665604
182,2612426.3308,1269029.5935,253.058,262.7191,236.881150464,-16.1768495365,BC1,100.0,100.0,2.14180270105,214.180270105,214.180270105
183,2612427.3933,1269027.7369,252.951,262.7191,236.881150464,-16.0698495365,BC1,100.0,100.0,3.00368968095,300.368968095,300.368968095
184,2612428.8834,1269025.1332,252.801,262.7191,236.865120043,-15.9358799568,BC1,100.0,100.0,3.00377636481,300.377636481,300.377636481
185,2612430.3735,1269022.5294,252.651,262.7195,236.865120043,-15.7858799568,BC1,100.0,100.0,3.00377636478,300.377636478,300.377636478
186,2612431.8636,1269019.9256,252.501,262.6719,236.865120043,-15.6358799568,BC1,100.0,100.0,3.00368968095,300.368968095,300.368968095
187,2612433.3537,1269017.3219,252.351,262.6719,236.865120043,-15.4858799568,BC1,100.0,100.0,3.00377636501,300.377636501,300.377636501
188,2612434.8438,1269014.7181,252.201,262.5436,236.865120043,-15.3358799568,BC1,100.0,100.0,3.00377636481,300.377636481,300.377636481
189,2612436.3339,1269012.1143,252.051,262.6749,236.865120043,-15.1858799568,BC1,100.0,100.0,3.00368968115,300.368968115,300.368968115
190,2612437.824,1269009.5106,251.901,262.6347,236.865120043,-15.0358799568,BC1,100.0,100.0,3.00377636481,300.377636481,300.377636481
191,2612439.3141,1269006.9068,251.751,262.6347,236.865120043,-14.8858799568,BC1,100.0,100.0,3.00372675836,300.372675836,300.372675836
192,2612440.8041,1269004.303,251.601,262.6527,236.792911541,-14.8080884593,BC1,100.0,100.0,3.00368968115,300.368968115,300.368968115
193,2612442.2942,1269001.6993,251.451,262.6527,236.792911541,-14.6580884593,BC1,100.0,100.0,3.00382646798,300.382646798,300.382646798
194,2612443.7843,1268999.0955,251.3,262.5565,236.792911541,-14.5070884593,BC1,100.0,100.0,3.00377636501,300.377636501,300.377636501
195,2612445.2744,1268996.4917,251.15,262.6941,236.792911541,-14.3570884593,BC1,100.0,100.0,3.00368968095,300.368968095,300.368968095
196,2612446.7645,1268993.888,251.0,262.5862,236.85354423,-14.1464557704,BC1,100.0,100.0,3.00377636481,300.377636481,300.377636481
197,2612448.2546,1268991.2842,250.85,262.5862,236.85354423,-13.9964557704,BC1,100.0,100.0,3.00377636501,300.377636501,300.377636501
198,2612449.7447,1268988.6804,250.7,262.5786,236.85354423,-13.8464557704,BC1,100.0,100.0,3.00368968095,300.368968095,300.368968095
199,2612451.2348,1268986.0767,250.55,262.5993,236.82841455,-13.7215854496,BC1,100.0,100.0,3.00377636478,300.377636478,300.377636478
200,2612452.7249,1268983.4729,250.4,262.5519,236.82841455,-13.5715854496,BC1,100.0,100.0,3.00377636481,300.377636481,300.377636481
201,2612454.215,1268980.8691,250.25,262.5519,236.82841455,-13.4215854496,BC1,100.0,100.0,3.00377636481,300.377636481,300.377636481
202,2612455.7051,1268978.2653,250.1,262.6379,236.82841455,-13.2715854496,BC1,100.0,100.0,3.00368968115,300.368968115,300.368968115
203,2612457.1952,1268975.6616,249.95,262.6379,236.82841455,-13.1215854496,BC1,100.0,100.0,3.00377636481,300.377636481,300.377636481
