"Point","Type","Station","Northing","Easting","Elevation"
"104+583","PC","104+583","1268858.5645","2611428.7363","238.626"
"","","","","",""
"104+586","PC","104+586","1268858.5333","2611431.7362","238.416"
"","","","","",""
"104+589","PC","104+589","1268858.5128","2611434.7361","238.206"
"","","","","",""
"104+592","PC","104+592","1268858.5028","2611437.7361","237.996"
"","","","","",""
"104+595","PC","104+595","1268858.5034","2611440.7361","237.786"
"","","","","",""
"W209","CS","104+596.328","1268858.5070","2611442.0640","237.693"
"","","","","",""
"104+598","SP","104+598","1268858.5140","2611443.7358","237.576"
"","","","","",""
"104+601","SP","104+601","1268858.5344","2611446.7357","237.366"
"","","","","",""
"104+604","SP","104+604","1268858.5644","2611449.7356","237.156"
"","","","","",""
"104+607","SP","104+607","1268858.6033","2611452.7353","236.946"
"","","","","",""
"104+610","SP","104+610","1268858.6503","2611455.7349","236.736"
"","","","","",""
"104+613","SP","104+613","1268858.7049","2611458.7344","236.526"
"","","","","",""
"104+616","SP","104+616","1268858.7663","2611461.7338","236.316"
"","","","","",""
"104+619","SP","104+619","1268858.8339","2611464.7331","236.106"
"","","","","",""
"104+622","SP","104+622","1268858.9069","2611467.7322","235.896"
"","","","","",""
"104+625","SP","104+625","1268858.9848","2611470.7312","235.686"
"","","","","",""
"104+628","SP","104+628","1268859.0669","2611473.7300","235.476"
"","","","","",""
"104+631","SP","104+631","1268859.1524","2611476.7288","235.266"
"","","","","",""
"104+634","SP","104+634","1268859.2407","2611479.7275","235.056"
"","","","","",""
"104+637","SP","104+637","1268859.3312","2611482.7261","234.846"
"","","","","",""
"104+640","SP","104+640","1268859.4231","2611485.7247","234.636"
"","","","","",""
"104+643","SP","104+643","1268859.5158","2611488.7233","234.426"
"","","","","",""
"W210","ST","104+643.492","1268859.5310","2611489.2150","234.391"
"","","","","",""
"104+646","","104+646","1268859.6075","2611491.7219","234.216"
"","","","","",""
"104+649","","104+649","1268859.6990","2611494.7205","234.006"
"","","","","",""
"104+652","","104+652","1268859.7906","2611497.7191","233.796"
"","","","","",""
"W211","PC","104+653.49","1268859.8360","2611499.2080","233.691"
"","","","","",""
"104+655","PC","104+655","1268859.8806","2611500.7178","233.586"
"","","","","",""
"104+658","PC","104+658","1268859.9674","2611503.7165","233.376"
"","","","","",""
"104+661","PC","104+661","1268860.0519","2611506.7153","233.166"
"","","","","",""
"104+664","PC","104+664","1268860.1343","2611509.7142","232.956"
"","","","","",""
"104+667","PC","104+667","1268860.2143","2611512.7131","232.746"
"","","","","",""
"104+670","PC","104+670","1268860.2922","2611515.7121","232.536"
"","","","","",""
"104+673","PC","104+673","1268860.3677","2611518.7112","232.326"
"","","","","",""
"104+676","PC","104+676","1268860.4411","2611521.7103","232.116"
"","","","","",""
"104+679","PC","104+679","1268860.5121","2611524.7094","231.906"
"","","","","",""
"104+682","PC","104+682","1268860.5810","2611527.7086","231.696"
"","","","","",""
"104+685","PC","104+685","1268860.6475","2611530.7079","231.486"
"","","","","",""
"104+688","PC","104+688","1268860.7119","2611533.7072","231.276"
"","","","","",""
"104+691","PC","104+691","1268860.7739","2611536.7066","231.066"
"","","","","",""
"BC2:5","BC","104+694","1268860.8338","2611539.7060","230.856"
"","","","","",""
"104+697","PC","104+697","1268860.8913","2611542.7054","230.647"
"","","","","",""
"104+700","PC","104+700","1268860.9467","2611545.7049","230.439"
"","","","","",""
"104+703","PC","104+703","1268860.9997","2611548.7044","230.233"
"","","","","",""
"104+706","PC","104+706","1268861.0506","2611551.7040","230.029"
"","","","","",""
"104+709","PC","104+709","1268861.0991","2611554.7036","229.826"
"","","","","",""
"104+712","PC","104+712","1268861.1455","2611557.7032","229.625"
"","","","","",""
"104+715","PC","104+715","1268861.1895","2611560.7029","229.425"
"","","","","",""
"104+718","PC","104+718","1268861.2314","2611563.7026","229.226"
"","","","","",""
"104+721","PC","104+721","1268861.2710","2611566.7024","229.029"
"","","","","",""
"104+724","PC","104+724","1268861.3083","2611569.7021","228.834"
"","","","","",""
"104+727","PC","104+727","1268861.3434","2611572.7019","228.640"
"","","","","",""
"104+730","PC","104+730","1268861.3762","2611575.7017","228.448"
"","","","","",""
"104+733","PC","104+733","1268861.4068","2611578.7016","228.257"
"","","","","",""
"104+736","PC","104+736","1268861.4351","2611581.7015","228.067"
"","","","","",""
"104+739","PC","104+739","1268861.4612","2611584.7013","227.879"
"","","","","",""
"104+742","PC","104+742","1268861.4850","2611587.7013","227.693"
"","","","","",""
"104+745","PC","104+745","1268861.5066","2611590.7012","227.508"
"","","","","",""
"104+748","PC","104+748","1268861.5259","2611593.7011","227.325"
"","","","","",""
"104+751","PC","104+751","1268861.5430","2611596.7011","227.143"
"","","","","",""
"104+754","PC","104+754","1268861.5578","2611599.7010","226.962"
"","","","","",""
"104+757","PC","104+757","1268861.5704","2611602.7010","226.784"
"","","","","",""
"104+760","PC","104+760","1268861.5807","2611605.7010","226.606"
"","","","","",""
"104+763","PC","104+763","1268861.5888","2611608.7010","226.430"
"","","","","",""
"104+766","PC","104+766","1268861.5946","2611611.7010","226.256"
"","","","","",""
"104+769","PC","104+769","1268861.5982","2611614.7010","226.083"
"","","","","",""
"104+772","PC","104+772","1268861.5996","2611617.7010","225.912"
"","","","","",""
"104+775","PC","104+775","1268861.5986","2611620.7010","225.742"
"","","","","",""
"104+778","PC","104+778","1268861.5955","2611623.7010","225.573"
"","","","","",""
"104+781","PC","104+781","1268861.5900","2611626.7010","225.406"
"","","","","",""
"104+784","PC","104+784","1268861.5824","2611629.7009","225.241"
"","","","","",""
"104+787","PC","104+787","1268861.5725","2611632.7009","225.077"
"","","","","",""
"104+790","PC","104+790","1268861.5603","2611635.7009","224.915"
"","","","","",""
"104+793","PC","104+793","1268861.5459","2611638.7009","224.754"
"","","","","",""
"W212","PT","104+793.733","1268861.5420","2611639.4340","224.715"
"","","","","",""
"104+796","","104+796","1268861.5298","2611641.7008","224.595"
"","","","","",""
"104+799","","104+799","1268861.5136","2611644.7008","224.437"
"","","","","",""
"104+802","","104+802","1268861.4975","2611647.7007","224.280"
"","","","","",""
"104+805","","104+805","1268861.4813","2611650.7007","224.126"
"","","","","",""
"104+808","","104+808","1268861.4652","2611653.7007","223.972"
"","","","","",""
"104+811","","104+811","1268861.4490","2611656.7006","223.820"
"","","","","",""
"104+814","","104+814","1268861.4329","2611659.7006","223.670"
"","","","","",""
"104+817","","104+817","1268861.4167","2611662.7005","223.521"
"","","","","",""
"104+820","","104+820","1268861.4006","2611665.7005","223.374"
"","","","","",""
"104+823","","104+823","1268861.3844","2611668.7004","223.228"
"","","","","",""
"104+826","","104+826","1268861.3682","2611671.7004","223.084"
"","","","","",""
"104+829","","104+829","1268861.3521","2611674.7003","222.941"
"","","","","",""
"104+832","","104+832","1268861.3359","2611677.7003","222.799"
"","","","","",""
"104+835","","104+835","1268861.3198","2611680.7003","222.660"
"","","","","",""
"104+838","","104+838","1268861.3036","2611683.7002","222.521"
"","","","","",""
"104+841","","104+841","1268861.2875","2611686.7002","222.384"
"","","","","",""
"104+844","","104+844","1268861.2713","2611689.7001","222.249"
"","","","","",""
"104+847","","104+847","1268861.2552","2611692.7001","222.115"
"","","","","",""
"104+850","","104+850","1268861.2390","2611695.7000","221.983"
"","","","","",""
"104+853","","104+853","1268861.2229","2611698.7000","221.852"
"","","","","",""
"104+856","","104+856","1268861.2067","2611701.7000","221.723"
"","","","","",""
