,Easting,Northing,Elevation,DTM,Rocksurface,delta_rocksurface_tunnelaxis,BoreClass
133,2612354.7964,1269158.9925,260.792,259.2222,236.2,-24.592,BC1
134,2612356.2097,1269156.3462,260.622,262.2787,236.2,-24.422,BC1
135,2612357.6245,1269153.7008,260.452,260.7018,236.2,-24.252,BC1
136,2612361.8786,1269145.7696,259.948,261.4623,236.2,-23.748,BC1
137,2612363.2998,1269143.1276,259.781,260.7289,236.4,-23.381,BC1
138,2612364.7225,1269140.4865,259.615,260.7289,236.4,-23.215,BC1
139,2612366.1469,1269137.8462,259.45,261.9745,236.4,-23.05,BC1
140,2612367.5728,1269135.2067,259.284,261.9745,236.4,-22.884,BC1
141,2612369.0003,1269132.5681,259.12,261.4646,236.4,-22.72,BC1
142,2612370.4295,1269129.9304,258.956,262.5366,236.4,-22.556,BC1
143,2612371.8601,1269127.2935,258.793,262.5366,236.4,-22.393,BC1
144,2612373.2924,1269124.6575,258.63,261.2839,236.4,-22.23,BC1
145,2612374.7263,1269122.0223,258.468,261.2839,236.4,-22.068,BC1
146,2612376.1617,1269119.388,258.307,262.5316,236.4,-21.907,BC1
147,2612377.5987,1269116.7546,258.146,262.5316,236.4,-21.746,BC1
148,2612379.0373,1269114.122,257.986,262.0572,236.4,-21.586,BC1
149,2612380.4775,1269111.4903,257.826,262.5215,236.4,-21.426,BC1
150,2612381.9192,1269108.8595,257.667,262.4756,236.460511255,-21.2064887448,BC1
151,2612383.3625,1269106.2295,257.508,262.4756,236.460511255,-21.0474887448,BC1
152,2612384.8074,1269103.6004,257.351,262.4282,236.585792725,-20.7652072752,BC1
153,2612386.2539,1269100.9721,257.193,262.4752,236.585792725,-20.6072072752,BC1
154,2612387.702,1269098.3447,257.037,262.4262,236.585792725,-20.4512072752,BC1
155,2612389.1516,1269095.7182,256.881,262.4262,236.585792725,-20.2952072752,BC1
156,2612390.6028,1269093.0926,256.725,262.494,236.585792725,-20.1392072752,BC1
157,2612392.0556,1269090.4678,256.57,262.494,236.585792725,-19.9842072752,BC1
158,2612393.51,1269087.8439,256.416,262.4827,236.575120192,-19.8408798077,BC1
159,2612394.9659,1269085.2209,256.262,262.4827,236.575120192,-19.6868798077,BC1
160,2612396.4234,1269082.5987,256.109,262.5408,236.575120192,-19.5338798077,BC1
161,2612397.8825,1269079.9775,255.957,262.4436,236.575120192,-19.3818798077,BC1
162,2612399.3432,1269077.3571,255.805,262.4436,236.575120192,-19.2298798077,BC1
163,2612400.8054,1269074.7375,255.654,262.5587,236.575120192,-19.0788798077,BC1
164,2612402.2692,1269072.1189,255.503,262.5587,236.575120192,-18.9278798077,BC1
165,2612402.9719,1269070.8631,255.431,262.5587,236.575120192,-18.8558798077,BC1
166,2612403.7346,1269069.5011,255.353,262.5389,236.575120192,-18.7778798077,BC1
167,2612405.2015,1269066.8842,255.203,262.5375,236.723833195,-18.4791668047,BC1
168,2612406.67,1269064.2682,255.053,262.5353,236.723833195,-18.3291668047,BC1
169,2612408.1401,1269061.6531,254.902,262.5353,236.723833195,-18.1781668047,BC1
170,2612409.6117,1269059.0389,254.752,262.5641,236.723833195,-18.0281668047,BC1
171,2612411.0849,1269056.4255,254.602,262.5919,236.723833195,-17.8781668047,BC1
172,2612412.5597,1269053.813,254.452,262.6098,236.723833195,-17.7281668047,BC1
173,2612414.0361,1269051.2015,254.302,262.6098,236.723833195,-17.5781668047,BC1
174,2612415.514,1269048.5908,254.152,262.6429,236.723833195,-17.4281668047,BC1
175,2612416.9935,1269045.9809,254.002,262.6429,236.777777778,-17.2242222222,BC1
176,2612418.4745,1269043.372,253.852,262.7045,236.777777778,-17.0742222222,BC1
177,2612419.9571,1269040.764,253.702,262.7045,236.777777778,-16.9242222222,BC1
178,2612421.4413,1269038.1568,253.552,262.7251,236.777777778,-16.7742222222,BC1
179,2612422.9271,1269035.5506,253.402,262.7251,236.777777778,-16.6242222222,BC1
180,2612424.4144,1269032.9452,253.252,262.6821,236.777777778,-16.4742222222,BC1
181,2612425.9032,1269030.3407,253.101,262.7433,236.881150464,-16.2198495365,BC1
182,2612426.3308,1269029.5935,253.058,262.7191,236.881150464,-16.1768495365,BC1
183,2612427.3933,1269027.7369,252.951,262.7191,236.881150464,-16.0698495365,BC1
184,2612428.8834,1269025.1332,252.801,262.7191,236.865120043,-15.9358799568,BC1
185,2612430.3735,1269022.5294,252.651,262.7195,236.865120043,-15.7858799568,BC1
186,2612431.8636,1269019.9256,252.501,262.6719,236.865120043,-15.6358799568,BC1
187,2612433.3537,1269017.3219,252.351,262.6719,236.865120043,-15.4858799568,BC1
188,2612434.8438,1269014.7181,252.201,262.5436,236.865120043,-15.3358799568,BC1
