,Station,Easting,Northing,Elevation,easting,northing,DTM
400,206+037,2612747.7644,1268467.9268,221.636,2612747.7644,1268467.9268,263.301
401,206+040,2612749.2545,1268465.3231,221.528,2612749.2545,1268465.3231,263.301
402,206+043,2612750.7446,1268462.7193,221.421,2612750.7446,1268462.7193,263.5874
403,206+046,2612752.2347,1268460.1155,221.315,2612752.2347,1268460.1155,263.5874
404,206+049,2612753.7248,1268457.5118,221.209,2612753.7248,1268457.5118,263.3326
405,206+052,2612755.2149,1268454.908,221.105,2612755.2149,1268454.908,263.3116
406,206+055,2612756.705,1268452.3042,221.001,2612756.705,1268452.3042,263.3116
407,206+058,2612758.1951,1268449.7005,220.898,2612758.1951,1268449.7005,263.2885
408,206+061,2612759.6852,1268447.0967,220.796,2612759.6852,1268447.0967,263.2885
409,206+064,2612761.1753,1268444.4929,220.695,2612761.1753,1268444.4929,262.8943
410,206+067,2612762.6654,1268441.8892,220.595,2612762.6654,1268441.8892,262.8943
411,206+070,2612764.1555,1268439.2854,220.496,2612764.1555,1268439.2854,263.2923
412,206+073,2612765.6456,1268436.6816,220.398,2612765.6456,1268436.6816,262.9656
413,206+076,2612767.1357,1268434.0779,220.301,2612767.1357,1268434.0779,262.8666
414,206+079,2612768.6258,1268431.4741,220.204,2612768.6258,1268431.4741,262.8666
415,206+082,2612770.1159,1268428.8703,220.109,2612770.1159,1268428.8703,262.8535
416,206+085,2612771.606,1268426.2666,220.014,2612771.606,1268426.2666,262.8535
417,206+088,2612773.0961,1268423.6628,219.92,2612773.0961,1268423.6628,262.8529
418,206+091,2612774.5862,1268421.059,219.828,,,
419,206+094,2612776.0763,1268418.4552,219.736,2612776.0763,1268418.4552,262.8997
420,206+097,2612777.5663,1268415.8515,219.645,2612777.5663,1268415.8515,262.8997
421,206+100,2612779.0564,1268413.2477,219.554,2612779.0564,1268413.2477,262.9303
422,206+103,2612780.5465,1268410.6439,219.465,2612780.5465,1268410.6439,263.0743
423,206+106,2612782.0366,1268408.0402,219.377,2612782.0366,1268408.0402,263.2999
424,206+109,2612783.5267,1268405.4364,219.29,2612783.5267,1268405.4364,263.2999
425,206+112,2612785.0168,1268402.8326,219.203,2612785.0168,1268402.8326,261.5571
426,206+115,2612786.5069,1268400.2289,219.117,2612786.5069,1268400.2289,261.5571
427,206+118,2612787.997,1268397.6251,219.033,2612787.997,1268397.6251,262.946
428,206+121,2612789.4871,1268395.0213,218.949,2612789.4871,1268395.0213,262.946
429,206+124,2612790.9772,1268392.4176,218.866,2612790.9772,1268392.4176,262.7934
430,206+127,2612792.4673,1268389.8138,218.784,2612792.4673,1268389.8138,262.8589
431,206+130,2612793.9574,1268387.21,218.703,2612793.9574,1268387.21,262.8589
432,206+133,2612795.4475,1268384.6063,218.623,2612795.4475,1268384.6063,263.813
433,206+136,2612796.9376,1268382.0025,218.543,2612796.9376,1268382.0025,263.813
434,206+139,2612798.4277,1268379.3987,218.465,2612798.4277,1268379.3987,262.8555
435,206+142,2612799.9178,1268376.795,218.388,2612799.9178,1268376.795,262.8555
436,206+145,2612801.4079,1268374.1912,218.311,2612801.4079,1268374.1912,263.8342
437,206+148,2612802.898,1268371.5874,218.235,2612802.898,1268371.5874,263.8342
