,Station,Easting,Northing,Elevation,DTM,RockSurface,StationReal,RockCover,WBScode,WorkType,ExcavationType,ProfileType,SectionArea,Description,Unit,BoreClass,SupportClass,DisposalClass,StationInterval,ExcavationVolume,DisposalVolume
67,104+265,2611112.762,1268887.973,254.521,244.843,238.0,104265.0,-16.520999999999987,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0011406164982444,NaN,NaN
68,104+268,2611115.762,1268887.915,254.462,244.851,238.0,104268.0,-16.46199999999999,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.000201493068809,NaN,NaN
69,104+271,2611118.761,1268887.857,254.4,244.851,238.0,104271.0,-16.400000000000006,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.001221917818718,NaN,NaN
70,104+274,2611121.761,1268887.799,254.337,247.897,238.0,104274.0,-16.33699999999999,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.000245823098542,NaN,NaN
71,104+277,2611124.76,1268887.742,254.272,247.897,238.0,104277.0,-16.27199999999999,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0012863908701664,NaN,NaN
72,104+280,2611127.76,1268887.684,254.206,247.832,238.0,104280.0,-16.20599999999999,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0003543127113086,NaN,NaN
73,104+283,2611130.759,1268887.626,254.137,247.872,238.0,104283.0,-16.137,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.000377476087353,NaN,NaN
74,104+286,2611133.758,1268887.568,254.067,247.872,238.0,104286.0,-16.067000000000007,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0014051709163487,NaN,NaN
75,104+289,2611136.758,1268887.511,253.995,247.915,238.0,104289.0,-15.995000000000005,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0004734629396994,NaN,NaN
76,104+292,2611139.757,1268887.453,253.921,247.915,238.0,104292.0,-15.920999999999992,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0015229467714324,NaN,NaN
77,104+295,2611142.757,1268887.395,253.845,247.957,238.0,104295.0,-15.844999999999999,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0005556150520274,NaN,NaN
78,104+298,2611145.756,1268887.338,253.767,248.032,238.0,104298.0,-15.766999999999996,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00160040644911,NaN,NaN
79,104+301,2611148.756,1268887.28,253.688,248.032,238.0,104301.0,-15.687999999999988,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.000654261825629,NaN,NaN
80,104+304,2611151.755,1268887.222,253.607,260.85,238.0,104304.0,-15.607,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,2.9696796126918845,NaN,NaN
81,104+306.969,2611154.723,1268887.165,253.525,260.85,238.0,104306.969,-15.525000000000006,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.000938686148926,NaN,NaN
82,104+309.969,2611157.721,1268887.063,253.44,260.669,238.0,104309.969,-15.439999999999998,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0020003334167775,NaN,NaN
83,104+312.969,2611160.72,1268886.96,253.354,260.488,238.0,104312.969,-15.354000000000013,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.001123289377633,NaN,NaN
84,104+315.969,2611163.718,1268886.856,253.265,260.488,238.0,104315.969,-15.264999999999986,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.001187931606841,NaN,NaN
85,104+318.969,2611166.716,1268886.751,253.175,260.313,238.0,104318.969,-15.175000000000011,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0013550274547782,NaN,NaN
86,104+321.969,2611169.714,1268886.643,253.083,260.313,238.0,104321.969,-15.082999999999998,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0014952936897634,NaN,NaN
87,104+324.969,2611172.712,1268886.532,252.99,260.166,238.0,104324.969,-14.990000000000009,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.001702183892827,NaN,NaN
88,104+327.969,2611175.71,1268886.418,252.894,260.037,238.0,104327.969,-14.894000000000005,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00089020123157,NaN,NaN
89,104+330.969,2611178.707,1268886.3,252.797,260.037,238.156,104330.969,-14.640999999999991,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0021548928828383,NaN,NaN
90,104+333.969,2611181.705,1268886.177,252.698,259.879,238.156,104333.969,-14.542000000000002,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0014319915318364,NaN,NaN
91,104+336.969,2611184.702,1268886.049,252.597,259.879,238.156,104336.969,-14.441000000000003,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.001761815978187,NaN,NaN
92,104+339.969,2611187.699,1268885.915,252.494,259.705,238.156,104339.969,-14.337999999999994,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.002070119081199,NaN,NaN
93,104+342.969,2611190.696,1268885.775,252.39,259.537,238.156,104342.969,-14.23399999999998,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0015119521378777,NaN,NaN
94,104+345.969,2611193.692,1268885.628,252.283,259.537,238.156,104345.969,-14.126999999999981,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0019501997302487,NaN,NaN
95,104+348.969,2611196.688,1268885.473,252.175,259.37,238.156,104348.969,-14.019000000000005,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0023923792311367,NaN,NaN
96,104+351.969,2611199.684,1268885.311,252.065,259.37,238.135,104351.969,-13.930000000000007,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,1.8181567591570889,NaN,NaN
97,104+353.792,2611201.498,1268885.208,251.998,259.193,238.135,104353.792,-13.863,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,1.2095321408774171,NaN,NaN
98,104+355,2611202.702,1268885.102,251.952,259.193,238.135,104355.0,-13.817000000000007,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0021220826834676,NaN,NaN
99,104+358,2611205.69,1268884.834,251.839,259.033,238.135,104358.0,-13.704000000000008,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0021122565857237,NaN,NaN
100,104+361,2611208.677,1268884.556,251.724,259.033,238.135,104361.0,-13.588999999999999,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.001985343109796,NaN,NaN
101,104+364,2611211.663,1268884.27,251.606,258.875,238.135,104364.0,-13.471000000000004,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0029940060301743,NaN,NaN
102,104+367,2611214.649,1268883.974,251.487,258.875,238.135,104367.0,-13.352000000000004,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,2.418297127774282,NaN,NaN
103,104+369.417,2611217.053,1268883.73,251.39,255.706,238.135,104369.417,-13.254999999999995,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,0.5797740938878969,NaN,NaN
104,104+370,2611217.618,1268883.602,251.367,255.706,238.135,104370.0,-13.232,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00274690919879,NaN,NaN
105,104+373,2611220.542,1268882.93,251.244,252.805,238.0,104373.0,-13.244,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0021898676238292,NaN,NaN
106,104+376,2611223.464,1268882.252,251.12,252.805,238.0,104376.0,-13.120000000000005,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0021445667300894,NaN,NaN
