,Station,Easting,Northing,Elevation,Alignment_Station_real
531,205+644,2612552.562,1268809.02,240.344,205644.0
533,205+647,2612554.052,1268806.417,240.194,205647.0
535,205+650,2612555.542,1268803.813,240.044,205650.0
537,205+653,2612557.032,1268801.209,239.894,205653.0
539,205+656,2612558.522,1268798.605,239.744,205656.0
541,205+659,2612560.012,1268796.002,239.594,205659.0
543,205+662,2612561.502,1268793.398,239.444,205662.0
545,205+665,2612562.992,1268790.794,239.294,205665.0
547,205+668,2612564.482,1268788.19,239.144,205668.0
549,205+671,2612565.972,1268785.586,238.994,205671.0
551,205+674,2612567.462,1268782.983,238.844,205674.0
553,205+677,2612568.953,1268780.379,238.693,205677.0
555,205+680,2612570.443,1268777.775,238.543,205680.0
557,205+683,2612571.933,1268775.172,238.393,205683.0
559,205+686,2612573.423,1268772.568,238.243,205686.0
561,205+689,2612574.913,1268769.964,238.093,205689.0
563,205+692,2612576.403,1268767.36,237.943,205692.0
565,205+695,2612577.893,1268764.756,237.793,205695.0
567,205+698,2612579.383,1268762.153,237.643,205698.0
569,205+701,2612580.873,1268759.549,237.493,205701.0
571,205+704,2612582.364,1268756.945,237.343,205704.0
573,205+707,2612583.854,1268754.341,237.193,205707.0
575,205+710,2612585.344,1268751.738,237.043,205710.0
577,205+713,2612586.834,1268749.134,236.892,205713.0
579,205+716,2612588.324,1268746.53,236.742,205716.0
581,205+719,2612589.814,1268743.926,236.592,205719.0
583,205+722,2612591.304,1268741.322,236.442,205722.0
585,205+725,2612592.794,1268738.719,236.292,205725.0
587,205+728,2612594.284,1268736.115,236.142,205728.0
589,205+731,2612595.774,1268733.511,235.992,205731.0
591,205+734,2612597.264,1268730.907,235.842,205734.0
593,205+737,2612598.755,1268728.304,235.692,205737.0
595,205+740,2612600.245,1268725.7,235.542,205740.0
597,205+743,2612601.735,1268723.096,235.392,205743.0
599,205+746,2612603.225,1268720.492,235.242,205746.0
601,205+749,2612604.715,1268717.889,235.091,205749.0
603,205+752,2612606.205,1268715.285,234.941,205752.0
605,205+755,2612607.695,1268712.681,234.791,205755.0
607,205+758,2612609.185,1268710.077,234.641,205758.0
609,205+761,2612610.675,1268707.474,234.491,205761.0
611,205+764,2612612.165,1268704.87,234.341,205764.0
613,205+767,2612613.656,1268702.266,234.191,205767.0
615,205+770,2612615.146,1268699.662,234.041,205770.0
617,205+773,2612616.636,1268697.058,233.891,205773.0
619,205+776,2612618.126,1268694.455,233.741,205776.0
621,205+779,2612619.616,1268691.851,233.591,205779.0
623,205+782,2612621.106,1268689.247,233.441,205782.0
625,205+785,2612622.596,1268686.643,233.29,205785.0
627,205+788,2612624.086,1268684.04,233.14,205788.0
629,205+791,2612625.576,1268681.436,232.99,205791.0
631,205+794,2612627.066,1268678.832,232.84,205794.0
633,205+797,2612628.556,1268676.228,232.69,205797.0
635,205+800,2612630.047,1268673.624,232.54,205800.0
637,205+803,2612631.537,1268671.021,232.39,205803.0
639,205+806,2612633.027,1268668.417,232.24,205806.0
641,205+809,2612634.517,1268665.813,232.09,205809.0
643,205+812,2612636.007,1268663.209,231.94,205812.0
645,205+815,2612637.497,1268660.606,231.79,205815.0
647,205+818,2612638.987,1268658.002,231.64,205818.0
649,205+821,2612640.477,1268655.398,231.489,205821.0
651,205+824,2612641.967,1268652.794,231.339,205824.0
653,205+827,2612643.458,1268650.191,231.189,205827.0
655,205+830,2612644.948,1268647.587,231.039,205830.0
657,205+833,2612646.438,1268644.983,230.889,205833.0
659,205+836,2612647.928,1268642.379,230.739,205836.0
661,205+839,2612649.418,1268639.776,230.589,205839.0
663,205+842,2612650.908,1268637.172,230.439,205842.0
665,205+845,2612652.398,1268634.568,230.289,205845.0
667,205+848,2612653.888,1268631.964,230.139,205848.0
669,205+851,2612655.378,1268629.36,229.989,205851.0
671,205+854,2612656.868,1268626.757,229.839,205854.0
673,205+857,2612658.358,1268624.153,229.688,205857.0
675,205+860,2612659.849,1268621.549,229.538,205860.0
677,205+863,2612661.339,1268618.945,229.388,205863.0
679,205+866,2612662.829,1268616.342,229.238,205866.0
681,205+869,2612664.319,1268613.738,229.088,205869.0
683,205+872,2612665.809,1268611.134,228.938,205872.0
685,205+875,2612667.299,1268608.53,228.788,205875.0
687,205+878,2612668.789,1268605.926,228.638,205878.0
689,205+881,2612670.279,1268603.323,228.488,205881.0
691,205+884,2612671.769,1268600.719,228.338,205884.0
693,205+887,2612673.26,1268598.115,228.188,205887.0
695,205+890,2612674.75,1268595.512,228.037,205890.0
697,205+893,2612676.24,1268592.908,227.887,205893.0
699,205+896,2612677.73,1268590.304,227.737,205896.0
701,205+899,2612679.22,1268587.7,227.587,205899.0
703,205+899.115,2612679.277,1268587.6,227.581,205899.115
705,205+902,2612680.71,1268585.096,227.438,205902.0
707,205+905,2612682.2,1268582.493,227.289,205905.0
709,205+908,2612683.69,1268579.889,227.141,205908.0
711,205+911,2612685.18,1268577.285,226.994,205911.0
713,205+914,2612686.67,1268574.681,226.848,205914.0
715,205+917,2612688.16,1268572.078,226.703,205917.0
717,205+920,2612689.651,1268569.474,226.559,205920.0
719,205+923,2612691.141,1268566.87,226.415,205923.0
721,205+926,2612692.631,1268564.266,226.273,205926.0
723,205+929,2612694.121,1268561.662,226.131,205929.0
725,205+932,2612695.611,1268559.059,225.991,205932.0
727,205+935,2612697.101,1268556.455,225.851,205935.0
729,205+938,2612698.591,1268553.851,225.712,205938.0
731,205+941,2612700.081,1268551.247,225.574,205941.0
733,205+944,2612701.571,1268548.644,225.437,205944.0
735,205+947,2612703.061,1268546.04,225.301,205947.0
737,205+950,2612704.552,1268543.436,225.166,205950.0
739,205+953,2612706.042,1268540.832,225.031,205953.0
741,205+956,2612707.532,1268538.229,224.898,205956.0
743,205+959,2612709.022,1268535.625,224.765,205959.0
745,205+962,2612710.512,1268533.021,224.634,205962.0
747,205+965,2612712.002,1268530.417,224.503,205965.0
749,205+968,2612713.492,1268527.814,224.373,205968.0
751,205+971,2612714.982,1268525.21,224.244,205971.0
753,205+974,2612716.472,1268522.606,224.116,205974.0
755,205+977,2612717.962,1268520.002,223.989,205977.0
757,205+980,2612719.452,1268517.398,223.863,205980.0
759,205+983,2612720.943,1268514.795,223.738,205983.0
761,205+986,2612722.433,1268512.191,223.613,205986.0
763,205+989,2612723.923,1268509.587,223.49,205989.0
765,205+992,2612725.413,1268506.983,223.367,205992.0
767,205+995,2612726.903,1268504.38,223.245,205995.0
769,205+998,2612728.393,1268501.776,223.125,205998.0
771,206+001,2612729.883,1268499.172,223.005,206001.0
773,206+004,2612731.373,1268496.568,222.886,206004.0
775,206+007,2612732.863,1268493.964,222.768,206007.0
777,206+010,2612734.354,1268491.361,222.65,206010.0
779,206+013,2612735.844,1268488.757,222.534,206013.0
781,206+016,2612737.334,1268486.153,222.419,206016.0
783,206+019,2612738.824,1268483.549,222.304,206019.0
785,206+022,2612740.314,1268480.946,222.191,206022.0
787,206+025,2612741.804,1268478.342,222.078,206025.0
789,206+028,2612743.294,1268475.738,221.966,206028.0
791,206+031,2612744.784,1268473.134,221.855,206031.0
793,206+034,2612746.274,1268470.531,221.745,206034.0
795,206+037,2612747.764,1268467.927,221.636,206037.0
797,206+040,2612749.254,1268465.323,221.528,206040.0
799,206+043,2612750.745,1268462.719,221.421,206043.0
801,206+046,2612752.235,1268460.116,221.315,206046.0
803,206+049,2612753.725,1268457.512,221.209,206049.0
805,206+052,2612755.215,1268454.908,221.105,206052.0
807,206+055,2612756.705,1268452.304,221.001,206055.0
809,206+058,2612758.195,1268449.7,220.898,206058.0
811,206+061,2612759.685,1268447.097,220.796,206061.0
813,206+064,2612761.175,1268444.493,220.695,206064.0
815,206+067,2612762.665,1268441.889,220.595,206067.0
817,206+070,2612764.156,1268439.285,220.496,206070.0
819,206+073,2612765.646,1268436.682,220.398,206073.0
821,206+076,2612767.136,1268434.078,220.301,206076.0
823,206+079,2612768.626,1268431.474,220.204,206079.0
825,206+082,2612770.116,1268428.87,220.109,206082.0
827,206+085,2612771.606,1268426.267,220.014,206085.0
829,206+088,2612773.096,1268423.663,219.92,206088.0
831,206+091,2612774.586,1268421.059,219.828,206091.0
833,206+094,2612776.076,1268418.455,219.736,206094.0
835,206+097,2612777.566,1268415.852,219.645,206097.0
837,206+100,2612779.056,1268413.248,219.554,206100.0
839,206+103,2612780.546,1268410.644,219.465,206103.0
841,206+106,2612782.037,1268408.04,219.377,206106.0
843,206+109,2612783.527,1268405.436,219.29,206109.0
845,206+112,2612785.017,1268402.833,219.203,206112.0
847,206+115,2612786.507,1268400.229,219.117,206115.0
849,206+118,2612787.997,1268397.625,219.033,206118.0
851,206+121,2612789.487,1268395.021,218.949,206121.0
853,206+124,2612790.977,1268392.418,218.866,206124.0
855,206+127,2612792.467,1268389.814,218.784,206127.0
857,206+130,2612793.957,1268387.21,218.703,206130.0
859,206+133,2612795.448,1268384.606,218.623,206133.0
861,206+136,2612796.938,1268382.002,218.543,206136.0
863,206+139,2612798.428,1268379.399,218.465,206139.0
865,206+142,2612799.918,1268376.795,218.388,206142.0
867,206+145,2612801.408,1268374.191,218.311,206145.0
869,206+148,2612802.898,1268371.587,218.235,206148.0
871,206+148.763,2612803.277,1268370.925,218.216,206148.763
873,206+151,2612804.388,1268368.984,218.16,206151.0
875,206+154,2612805.878,1268366.38,218.085,206154.0
877,206+157,2612807.368,1268363.776,218.01,206157.0
879,206+160,2612808.858,1268361.172,217.935,206160.0
881,206+163,2612810.348,1268358.569,217.86,206163.0
883,206+166,2612811.839,1268355.965,217.785,206166.0
885,206+169,2612813.329,1268353.361,217.71,206169.0
887,206+172,2612814.819,1268350.757,217.635,206172.0
889,206+175,2612816.309,1268348.154,217.56,206175.0
891,206+178,2612817.799,1268345.55,217.485,206178.0
893,206+181,2612819.289,1268342.946,217.41,206181.0
895,206+184,2612820.779,1268340.342,217.335,206184.0
897,206+187,2612822.269,1268337.738,217.26,206187.0
899,206+190,2612823.759,1268335.135,217.185,206190.0
901,206+193,2612825.25,1268332.531,217.11,206193.0
903,206+196,2612826.74,1268329.927,217.035,206196.0
905,206+199,2612828.23,1268327.323,216.96,206199.0
907,206+202,2612829.72,1268324.72,216.885,206202.0
909,206+205,2612831.21,1268322.116,216.81,206205.0
911,206+208,2612832.7,1268319.512,216.735,206208.0
913,206+211,2612834.19,1268316.908,216.66,206211.0
